timestamp_s,yaw_deg,pitch_deg,roll_deg
0.000000,359.999993,-1.065584,0.168240
0.000996,359.993022,-0.996402,0.126336
0.001991,359.987053,-1.010967,0.112393
0.002987,359.984066,-1.060133,0.119525
0.003982,359.984105,-1.123656,0.125317
0.004977,359.987132,-1.166835,0.129460
0.005972,359.993173,-1.260379,0.141525
0.006968,0.000202,-1.354927,0.171194
0.007963,0.010191,-1.459315,0.212279
0.008958,0.022168,-1.546370,0.256408
0.009956,0.037173,-1.613040,0.295022
0.010949,0.054086,-1.661353,0.331868
0.011944,0.070063,-1.685443,0.372677
0.012940,0.084089,-1.681696,0.410726
0.013936,0.093126,-1.644203,0.438271
0.014931,0.097139,-1.576594,0.454639
0.015926,0.095172,-1.491820,0.455977
0.016922,0.089213,-1.404372,0.438457
0.017917,0.081269,-1.328381,0.409477
0.018914,0.073309,-1.264511,0.374953
0.019908,0.065328,-1.205312,0.337853
0.020907,0.056311,-1.152809,0.299010
0.021900,0.046341,-1.110878,0.255252
0.022894,0.037345,-1.083338,0.215375
0.023889,0.030339,-1.075215,0.184293
0.024885,0.027317,-1.084183,0.160958
0.025882,0.028302,-1.104262,0.144399
0.026876,0.033260,-1.128196,0.138091
0.027872,0.041216,-1.156488,0.143944
0.028867,0.050158,-1.184914,0.156024
0.029862,0.060093,-1.208794,0.169117
0.030858,0.070034,-1.224910,0.182253
0.031855,0.076995,-1.240861,0.200693
0.032849,0.081965,-1.247554,0.223248
0.033845,0.083980,-1.252921,0.245546
0.034840,0.083003,-1.238779,0.262699
0.035835,0.081982,-1.224795,0.273905
0.036830,0.080984,-1.209681,0.281687
0.037826,0.077970,-1.191284,0.282218
0.038821,0.076973,-1.181642,0.268504
0.039816,0.074956,-1.154936,0.246775
0.040814,0.072955,-1.138350,0.220826
0.041807,0.069951,-1.112800,0.201176
0.042802,0.067917,-1.085136,0.183374
0.043798,0.064906,-1.064477,0.167943
0.044793,0.062896,-1.055765,0.158192
0.045789,0.060885,-1.051513,0.153771
0.046784,0.060885,-1.049221,0.149245
0.047779,0.061843,-1.052716,0.142952
0.048774,0.064811,-1.065321,0.136656
0.049770,0.068777,-1.085134,0.136286
0.050765,0.071744,-1.103799,0.138736
0.051760,0.075704,-1.118739,0.141606
0.052755,0.078650,-1.125813,0.149352
0.053751,0.082614,-1.138962,0.161974
0.054746,0.084603,-1.156245,0.178254
0.055741,0.085618,-1.173795,0.194937
0.056736,0.085660,-1.185212,0.206469
0.057731,0.084706,-1.189770,0.217166
0.058727,0.084727,-1.189163,0.223584
0.059722,0.083732,-1.185659,0.226908
0.060717,0.083731,-1.177088,0.227267
0.061712,0.082755,-1.160865,0.225364
0.062708,0.081757,-1.139707,0.219345
0.063703,0.078770,-1.113781,0.211732
0.064698,0.072778,-1.080579,0.201640
0.065694,0.065804,-1.047397,0.192834
0.066689,0.055886,-1.004676,0.185871
0.067684,0.043976,-0.969660,0.176600
0.068680,0.033050,-0.945874,0.167612
0.069675,0.024092,-0.926663,0.158991
0.070670,0.020095,-0.920584,0.151606
0.071665,0.021060,-0.929633,0.147413
0.072661,0.026042,-0.945067,0.147206
0.073656,0.034020,-0.962428,0.149116
0.074651,0.043954,-0.978736,0.152894
0.075647,0.054859,-0.988795,0.157655
0.076642,0.064790,-0.989875,0.164223
0.077637,0.072732,-0.993305,0.169885
0.078633,0.080682,-0.992264,0.174276
0.079628,0.085673,-0.989049,0.178724
0.080625,0.087667,-0.981957,0.182154
0.081618,0.088659,-0.973286,0.186965
0.082613,0.087664,-0.962748,0.191709
0.083609,0.086700,-0.950748,0.197617
0.084604,0.086715,-0.940720,0.203110
0.085599,0.087726,-0.930641,0.208474
0.086597,0.088722,-0.921450,0.212751
0.087590,0.089730,-0.911163,0.215229
0.088585,0.090723,-0.903166,0.214695
0.089580,0.091717,-0.894715,0.213191
0.090575,0.092710,-0.887756,0.209429
0.091571,0.092694,-0.880902,0.204768
0.092566,0.092693,-0.874191,0.201179
0.093561,0.092677,-0.868574,0.197309
0.094556,0.092677,-0.864228,0.196375
0.095552,0.091695,-0.860894,0.198630
0.096547,0.089705,-0.856263,0.201407
0.097542,0.086720,-0.851922,0.206262
0.098538,0.082751,-0.849714,0.213214
0.099533,0.077792,-0.849304,0.221841
0.100527,0.072838,-0.853932,0.232678
0.101523,0.066865,-0.864341,0.243519
0.102518,0.060899,-0.881379,0.254736
0.103514,0.055907,-0.900300,0.264162
0.104509,0.052926,-0.920164,0.272642
0.105504,0.051935,-0.939047,0.279820
0.106499,0.052933,-0.957266,0.285173
0.107494,0.054926,-0.973285,0.289878
0.108490,0.057916,-0.986964,0.296157
0.109485,0.058913,-1.002615,0.304005
0.110480,0.059910,-1.016055,0.312251
0.111476,0.059912,-1.027067,0.319548
0.112471,0.057923,-1.033560,0.325671
0.113466,0.055916,-1.036810,0.329897
0.114461,0.053909,-1.042307,0.332984
0.115457,0.051900,-1.047258,0.334697
0.116452,0.051882,-1.051066,0.334524
0.117448,0.052860,-1.052833,0.331751
0.118443,0.053836,-1.056859,0.327227
0.119437,0.054831,-1.061872,0.322744
0.120432,0.055826,-1.065839,0.317080
0.121427,0.056821,-1.069014,0.311255
0.122423,0.056821,-1.072134,0.305540
0.123418,0.056821,-1.077148,0.301392
0.124413,0.055826,-1.080553,0.299278
0.125408,0.054832,-1.086796,0.299138
0.126404,0.053836,-1.092438,0.299963
0.127399,0.052842,-1.097721,0.301246
0.128394,0.051847,-1.103857,0.302981
0.129390,0.051829,-1.108662,0.304161
0.130385,0.051790,-1.114120,0.304325
0.131379,0.051751,-1.121112,0.304704
0.132376,0.051732,-1.129192,0.306038
0.133370,0.051712,-1.135750,0.306882
0.134365,0.052686,-1.142855,0.306542
0.135360,0.052666,-1.149510,0.305775
0.136356,0.053642,-1.152733,0.303873
0.137351,0.053621,-1.154509,0.300671
0.138346,0.053621,-1.154726,0.296492
0.139341,0.054616,-1.153292,0.291914
0.140336,0.054617,-1.151901,0.288309
0.141331,0.054637,-1.149882,0.285742
0.142328,0.054657,-1.147889,0.283217
0.143322,0.054657,-1.146786,0.281042
0.144318,0.054658,-1.146422,0.280392
0.145313,0.054658,-1.143111,0.279752
0.146308,0.054638,-1.141541,0.278331
0.147304,0.054619,-1.137711,0.277763
0.148299,0.054581,-1.129793,0.276001
0.149294,0.054562,-1.122263,0.274817
0.150292,0.054544,-1.113286,0.273641
0.151286,0.054508,-1.103558,0.270461
0.152281,0.054472,-1.095003,0.266696
0.153276,0.054436,-1.088005,0.262768
0.154272,0.054420,-1.080675,0.260072
0.155267,0.055398,-1.073856,0.257187
0.156263,0.055401,-1.066754,0.254943
0.157258,0.055422,-1.059383,0.253524
0.158253,0.055424,-1.053913,0.250945
0.159249,0.055444,-1.049313,0.248992
0.160244,0.055463,-1.046136,0.247458
0.161239,0.055499,-1.045322,0.247909
0.162234,0.055536,-1.043911,0.249336
0.163230,0.055572,-1.044625,0.251530
0.164225,0.055607,-1.046461,0.254856
0.165220,0.054630,-1.046877,0.257945
0.166215,0.054648,-1.048616,0.260212
0.167211,0.054648,-1.049697,0.261465
0.168206,0.053653,-1.049833,0.261583
0.169201,0.053635,-1.048408,0.259565
0.170196,0.053635,-1.047792,0.257620
0.171191,0.053617,-1.047250,0.253598
0.172186,0.054593,-1.046736,0.248310
0.173182,0.055589,-1.046068,0.242968
0.174177,0.056584,-1.045267,0.236965
0.175172,0.056584,-1.045240,0.230693
0.176167,0.057597,-1.044334,0.225829
0.177163,0.057616,-1.042445,0.221043
0.178158,0.057634,-1.041029,0.217213
0.179153,0.057670,-1.040708,0.215850
0.180148,0.057688,-1.040018,0.214765
0.181143,0.057706,-1.039860,0.214759
0.182139,0.057724,-1.038725,0.216171
0.183134,0.057724,-1.036707,0.217633
0.184129,0.057706,-1.034959,0.219131
0.185124,0.057688,-1.032396,0.221995
0.186122,0.056673,-1.028455,0.225531
0.187115,0.055662,-1.025365,0.229027
0.188110,0.055645,-1.022464,0.232972
0.189105,0.055628,-1.019403,0.236183
0.190101,0.055610,-1.017382,0.238501
0.191096,0.055593,-1.016752,0.240118
0.192091,0.055575,-1.016308,0.241210
0.193087,0.055575,-1.017542,0.242943
0.194083,0.055575,-1.019955,0.244662
0.195078,0.055574,-1.022867,0.246534
0.196073,0.055592,-1.027261,0.250043
0.197069,0.055609,-1.031636,0.253857
0.198064,0.055608,-1.037960,0.256651
0.199059,0.055607,-1.044549,0.259908
0.200054,0.056602,-1.048630,0.262789
0.201049,0.056601,-1.052025,0.265013
0.202045,0.056583,-1.054090,0.265901
0.203040,0.056564,-1.055157,0.266291
0.204035,0.055551,-1.056219,0.266047
0.205031,0.055533,-1.055630,0.265457
0.206026,0.055497,-1.054592,0.262287
0.207021,0.055460,-1.052420,0.258348
0.208016,0.055443,-1.050469,0.254798
0.209011,0.055426,-1.047398,0.250021
0.210007,0.055409,-1.045347,0.245285
0.211002,0.055409,-1.043793,0.240803
0.211997,0.055410,-1.041902,0.235900
0.212992,0.055410,-1.042105,0.231044
0.213987,0.055428,-1.042790,0.227689
0.214982,0.055428,-1.043107,0.223995
0.215978,0.055428,-1.045627,0.221251
0.216973,0.056422,-1.047143,0.219733
0.217968,0.056422,-1.048114,0.218854
0.218963,0.056440,-1.048704,0.219579
0.219959,0.056440,-1.047781,0.219915
0.220954,0.056441,-1.044974,0.220547
0.221949,0.056441,-1.042474,0.221021
0.222945,0.056442,-1.039526,0.221785
0.223940,0.055448,-1.037557,0.222554
0.224935,0.055448,-1.035099,0.223443
0.225930,0.054453,-1.033931,0.224489
0.226926,0.054453,-1.033913,0.225508
0.227921,0.054435,-1.033788,0.225529
0.228916,0.054435,-1.033922,0.226683
0.229912,0.054435,-1.034050,0.227389
0.230906,0.054452,-1.034492,0.228933
0.231902,0.054488,-1.035935,0.231320
0.232897,0.054523,-1.037552,0.233553
0.233893,0.054559,-1.040165,0.236209
0.234888,0.054594,-1.044035,0.238848
0.235883,0.054630,-1.047876,0.242040
0.236878,0.054648,-1.052534,0.244366
0.237873,0.055660,-1.054335,0.246517
