#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
24157591000,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.994256383770018237e-01,8.028418433691103268e-04,-3.387844151812295646e-02,0.000000000000000000e+00
24257691100,1.101886664400808513e-04,-1.925791366375051439e-05,3.823693841695785522e-03,9.994407974524456284e-01,6.444366352612313897e-04,-3.343082619419344287e-02,-2.386399302491418401e-04
24357791200,9.115290595218539238e-04,-1.438582548871636391e-04,1.502505689859390259e-02,9.994556741612511397e-01,4.860311085630564351e-04,-3.298319822657337641e-02,-4.772791503293171323e-04
24457891300,2.297040773555636406e-03,4.333196557126939297e-06,3.377469629049301147e-02,9.994702681912974729e-01,3.276255655422349042e-04,-3.253556705509511038e-02,-7.159186462105822900e-04
24557991400,4.329258576035499573e-03,8.883331320248544216e-04,5.920135602355003357e-02,9.994845801490724879e-01,1.692198534860349867e-04,-3.208791405213885783e-02,-9.545578328347147957e-04
24658091500,6.988515611737966537e-03,2.418221672996878624e-03,9.073647111654281616e-02,9.994986093112853132e-01,1.081417762418458022e-05,-3.164026152509510220e-02,-1.193196749866906299e-03
24758191600,1.069451309740543365e-02,4.339264240115880966e-03,1.282528042793273926e-01,9.995123560394391093e-01,-1.475915314757392086e-04,-3.119259829140903773e-02,-1.431835556176139440e-03
24858291700,1.543005108833312988e-01,1.599899530410766602e-01,1.868605166673660278e-01,9.991503970040053195e-01,-3.138056774088345251e-03,-4.109300061961496803e-02,-4.545874353321262398e-05
24958391800,1.698673367500305176e-01,1.766563653945922852e-01,2.398207187652587891e-01,9.991157164055820550e-01,-3.727184194113898272e-03,-4.187937621830498114e-02,-1.057209031708177948e-04
25058491900,1.792040318250656128e-01,2.003767490386962891e-01,2.959513664245605469e-01,9.990864297427078933e-01,-3.661578019310016228e-03,-4.257805230887409809e-02,-9.061986840242281416e-05
25158592001,1.862281858921051025e-01,2.274523973464965820e-01,3.568717539310455322e-01,9.990806385494719333e-01,-3.632599666271095831e-03,-4.271594097149584990e-02,-1.740177111677932451e-04
25258692101,1.908884793519973755e-01,2.568028271198272705e-01,4.227113425731658936e-01,9.990726440372901251e-01,-3.711967174803563162e-03,-4.289576784895594852e-02,-1.622857967507405745e-04
25358792201,1.930810958147048950e-01,2.873121798038482666e-01,4.937102496623992920e-01,9.990672366910881008e-01,-3.718194502717923466e-03,-4.302116323565599587e-02,-1.054225992714762821e-04
25458892301,1.919504702091217041e-01,3.179811835289001465e-01,5.700222849845886230e-01,9.990578581864040242e-01,-3.778098034619124541e-03,-4.323303193688528279e-02,-1.640755312461446400e-04
25558992401,1.200110018253326416e-01,2.978321015834808350e-01,6.498388051986694336e-01,9.988506534168407613e-01,-1.434707244075565224e-03,-4.790919035121016939e-02,-1.525246403934992076e-04
25659092501,7.509265094995498657e-02,2.605555951595306396e-01,7.245972752571105957e-01,9.987625214976929566e-01,2.476576417235664285e-03,-4.967110099865867240e-02,-2.719308759653921615e-04
